person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Xavier Dolan;Pierrot le fou;Cries and Whispers;Forbidden Games;The 400 Blows;Taste of Cherry;The Cranes Are Flying;Au revoir les enfants;Beauty and the Beast;Mala Noche;The Discreet Charm of the Bourgeoisie;;;;;;
Marcel Dzama;The Third Man;Brand upon the Brain!;The Fire Within;Murmur of the Heart;My Life as a Dog;The Discreet Charm of the Bourgeoisie;The Red Shoes;Gimme Shelter;M;Science Is Fiction: 23 Films by Jean Painlevé;Heaven Can Wait;;;;;
Wes Anderson;The Earrings of Madame de . . . ;Au hasard Balthazar;Pigs and Battleships|The Insect Woman|Intentions of Murder;The Taking of Power by Louis XIV;The Spy Who Came in from the Cold;The Friends of Eddie Coyle;Classe tous risques;L’enfance nue;Mishima: A Life in Four Chapters;The Exterminating Angel;;;;;;
Angus MacLachlan;L’avventura;The Rules of the Game;Fanny and Alexander: Television Version;Downhill Racer;The Earrings of Madame de . . . ;Boudu Saved from Drowning;Black Narcissus;Trouble in Paradise;The Third Man;Through a Glass Darkly|Winter Light|The Silence;;;;;;
Guillermo del Toro;Throne of Blood|High and Low|Ran;The Seventh Seal|Fanny and Alexander: Theatrical Version;Beauty and the Beast|Eyes Without a Face;Great Expectations|Oliver Twist;Time Bandits|Brazil;Onibaba|Kuroneko;Spartacus|Paths of Glory;Sullivan’s Travels|Unfaithfully Yours;Vampyr|Häxan;The Spirit of the Beehive|The Night of the Hunter;;;;;;
Scott Morse’s Top Ten;The Battle of Algiers ;The Golden Age of Television;Kwaidan;Notorious;Pickup on South Street;The Red Shoes;Rififi;Seven Samurai;The Third Man;Yojimbo;The Blob;;;;;
Georgia Hubley;Peeping Tom;The Discreet Charm of the Bourgeoisie;The Wages of Fear;Pickup on South Street;Two-Lane Blacktop;Au hasard Balthazar;The Spirit of the Beehive;The Silence of the Lambs;Billy Liar;White Dog;;;;;;
Greg Mottola;The White Sheik|I vitelloni|Nights of Cabiria|8½|Amarcord;Through a Glass Darkly|The Silence|Fanny and Alexander: Theatrical Version;Umberto D.;The Last Picture Show;Modern Times;Notorious;The Third Man;Sweet Smell of Success;Stranger Than Paradise;Naked;;;;;;
Bill Hader;High and Low|Stray Dog;Good Morning|George Washington;The Hit|Mona Lisa;Dazed and Confused|Bottle Rocket;Repulsion|Sisters;The Earrings of Madame de . . . |Le plaisir;Down by Law|Le doulos;Ace in the Hole|Sullivan’s Travels;The Thin Red Line|The Steel Helmet;Monty Python’s Life of Brian|This Is Spinal Tap;;;;;;
João Pedro Rodrigues;Mon oncle;Good Morning;The Night of the Hunter;Sansho the Bailiff;All That Heaven Allows|Ali: Fear Eats the Soul;Eyes Without a Face|Peeping Tom;The Naked Kiss;Stagecoach;Pickpocket;La ronde|The Earrings of Madame de . . . ;;;;;;
John Bailey;The Battle of Algiers ;Black Narcissus;The Fire Within;The Wages of Fear;I fidanzati;Mishima: A Life in Four Chapters;Rome Open City|Paisan|Germany Year Zero;L’eclisse;Contempt;The 400 Blows;The Rules of the Game;;;;;
Anthony Bourdain;The Friends of Eddie Coyle;Eyes Without a Face;The Battle of Algiers ;Chungking Express;Kiss Me Deadly;Merry Christmas Mr. Lawrence;Withnail and I;Army of Shadows;House of Games;Sullivan’s Travels;;;;;;
