person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Xavier Dolan;Jean-Luc Godard;Ingmar Bergman;René Clément;François Truffaut;Abbas Kiarostami;Mikhail Kalatozov;Louis Malle;Jean Cocteau;Gus Van Sant;Luis Buñuel;;;;;;
Marcel Dzama;Carol Reed;Guy Maddin;Louis Malle;Louis Malle;Lasse Hallström;Luis Buñuel;Michael Powell and Emeric Pressburger;David Maysles, Albert Maysles, and Charlotte Zwerin;Fritz Lang;Jean Painlevé;Ernst Lubitsch;;;;;
Wes Anderson;Max Ophuls;Robert Bresson;Shohei Imamura|Shohei Imamura|Shohei Imamura;Roberto Rossellini;Martin Ritt;Peter Yates;Claude Sautet;Maurice Pialat;Paul Schrader;Luis Buñuel;;;;;;
Angus MacLachlan;Michelangelo Antonioni;Jean Renoir;Ingmar Bergman;Michael Ritchie;Max Ophuls;Jean Renoir;Michael Powell and Emeric Pressburger;Ernst Lubitsch;Carol Reed;Ingmar Bergman|Ingmar Bergman|Ingmar Bergman;;;;;;
Guillermo del Toro;Akira Kurosawa|Akira Kurosawa|Akira Kurosawa;Ingmar Bergman|Ingmar Bergman;Jean Cocteau|Georges Franju;David Lean|David Lean;Terry Gilliam|Terry Gilliam;Kaneto Shindo|Kaneto Shindo;Stanley Kubrick|Stanley Kubrick;Preston Sturges|Preston Sturges;Carl Th. Dreyer|Benjamin Christensen;Víctor Erice|Charles Laughton;;;;;;
Scott Morse’s Top Ten;Gillo Pontecorvo;;Masaki Kobayashi;Alfred Hitchcock;Samuel Fuller;Michael Powell and Emeric Pressburger;Jules Dassin;Akira Kurosawa;Carol Reed;Akira Kurosawa;Irvin S. Yeaworth Jr.;;;;;
Georgia Hubley;Michael Powell;Luis Buñuel;Henri-Georges Clouzot;Samuel Fuller;Monte Hellman;Robert Bresson;Víctor Erice;Jonathan Demme;John Schlesinger;Samuel Fuller;;;;;;
Greg Mottola;Federico Fellini|Federico Fellini|Federico Fellini|Federico Fellini|Federico Fellini;Ingmar Bergman|Ingmar Bergman|Ingmar Bergman;Vittorio De Sica;Peter Bogdanovich;Charles Chaplin;Alfred Hitchcock;Carol Reed;Alexander Mackendrick;Jim Jarmusch;Mike Leigh;;;;;;
Bill Hader;Akira Kurosawa|Akira Kurosawa;Yasujiro Ozu|David Gordon Green;Stephen Frears|Neil Jordan;Richard Linklater|Wes Anderson;Roman Polanski|Brian De Palma;Max Ophuls|Max Ophuls;Jim Jarmusch|Jean-Pierre Melville;Billy Wilder|Preston Sturges;Terrence Malick|Samuel Fuller;Terry Jones|Rob Reiner;;;;;;
João Pedro Rodrigues;Jacques Tati;Yasujiro Ozu;Charles Laughton;Kenji Mizoguchi;Douglas Sirk|Rainer Werner Fassbinder;Georges Franju|Michael Powell;Samuel Fuller;John Ford;Robert Bresson;Max Ophuls|Max Ophuls;;;;;;
